column_number,row_letter,concentration,well,plate,mouse_id,name
4,6,0.6629717599492998,6.04.0,MAA000154,30_2_M,6.04.0-MAA000154-30_2_M-1
4,7,1.3364918732938977,7.04.0,MAA000154,30_2_M,7.04.0-MAA000154-30_2_M-1
4,8,0.37471743833026316,8.04.0,MAA000154,30_2_M,8.04.0-MAA000154-30_2_M-1
4,9,0.45328900797596094,9.04.0,MAA000154,30_2_M,9.04.0-MAA000154-30_2_M-1
4,10,0.9961796138623573,10.04.0,MAA000154,30_2_M,10.04.0-MAA000154-30_2_M-1
4,11,1.6108839985462848,11.04.0,MAA000154,30_2_M,11.04.0-MAA000154-30_2_M-1
4,12,0.4805424828468302,12.04.0,MAA000154,30_2_M,12.04.0-MAA000154-30_2_M-1
4,13,1.8938877055215302,13.04.0,MAA000154,30_2_M,13.04.0-MAA000154-30_2_M-1
4,14,1.049237953326774,14.04.0,MAA000154,30_2_M,14.04.0-MAA000154-30_2_M-1
4,15,0.5983424666113246,15.04.0,MAA000154,30_2_M,15.04.0-MAA000154-30_2_M-1
5,0,2.5706038451710445,0.05.0,MAA000154,30_2_M,0.05.0-MAA000154-30_2_M-1
5,1,0.3204949516627843,1.05.0,MAA000154,30_2_M,1.05.0-MAA000154-30_2_M-1
5,2,2.361069300849841,2.05.0,MAA000154,30_2_M,2.05.0-MAA000154-30_2_M-1
5,3,0.4446977450441213,3.05.0,MAA000154,30_2_M,3.05.0-MAA000154-30_2_M-1
5,4,0.6571127767979534,4.05.0,MAA000154,30_2_M,4.05.0-MAA000154-30_2_M-1
5,5,1.7491222956294294,5.05.0,MAA000154,30_2_M,5.05.0-MAA000154-30_2_M-1
5,6,3.07225567185081,6.05.0,MAA000154,30_2_M,6.05.0-MAA000154-30_2_M-1
5,7,1.591346883370457,7.05.0,MAA000154,30_2_M,7.05.0-MAA000154-30_2_M-1
5,8,1.5378726063016608,8.05.0,MAA000154,30_2_M,8.05.0-MAA000154-30_2_M-1
5,9,1.5767807006561652,9.05.0,MAA000154,30_2_M,9.05.0-MAA000154-30_2_M-1
5,10,2.1176250847646942,10.05.0,MAA000154,30_2_M,10.05.0-MAA000154-30_2_M-1
5,11,0.8651497066987904,11.05.0,MAA000154,30_2_M,11.05.0-MAA000154-30_2_M-1
5,12,1.4403842422177011,12.05.0,MAA000154,30_2_M,12.05.0-MAA000154-30_2_M-1
5,13,1.1681243947992597,13.05.0,MAA000154,30_2_M,13.05.0-MAA000154-30_2_M-1
5,14,1.4526544015468978,14.05.0,MAA000154,30_2_M,14.05.0-MAA000154-30_2_M-1
5,15,1.3618819955060666,15.05.0,MAA000154,30_2_M,15.05.0-MAA000154-30_2_M-1
6,0,0.5490096372413076,0.06.0,MAA000154,30_2_M,0.06.0-MAA000154-30_2_M-1
